itemsTagged,street,rubbishType,day,serverTimeStamp,city,state,lat,long
1,Broadway St,paper,Wednesday,"2/12/2020, 8:06:05 PM",Redwood City,CA,37.4865059,-122.2289503
1,Broadway St,other,Wednesday,"2/12/2020, 8:05:53 PM",Redwood City,CA,37.48651132,-122.2289127
1,Broadway St,paper,Wednesday,"2/12/2020, 8:05:44 PM",Redwood City,CA,37.48650121,-122.2289246
1,Broadway St,tobacco,Wednesday,"2/12/2020, 8:05:36 PM",Redwood City,CA,37.48651692,-122.2288323
1,Broadway St,paper,Wednesday,"2/12/2020, 8:05:31 PM",Redwood City,CA,37.48650089,-122.2288664
1,Broadway St,paper,Wednesday,"2/12/2020, 8:05:29 PM",Redwood City,CA,37.48648842,-122.2288799
1,Broadway St,other,Wednesday,"2/12/2020, 8:05:25 PM",Redwood City,CA,37.48651072,-122.2289485
1,Broadway St,paper,Wednesday,"2/12/2020, 8:05:09 PM",Redwood City,CA,37.48653333,-122.2288688
1,Broadway St,paper,Wednesday,"2/12/2020, 8:05:07 PM",Redwood City,CA,37.48652958,-122.2288691
1,Broadway St,other,Wednesday,"2/12/2020, 8:05:02 PM",Redwood City,CA,37.48652376,-122.2287805
1,Broadway St,paper,Wednesday,"2/12/2020, 8:04:46 PM",Redwood City,CA,37.48649531,-122.2287067
1,Broadway St,other,Wednesday,"2/12/2020, 8:04:32 PM",Redwood City,CA,37.48649891,-122.2285341
1,Broadway St,paper,Wednesday,"2/12/2020, 8:04:24 PM",Redwood City,CA,37.48648863,-122.2285346
1,Broadway St,plastic,Wednesday,"2/12/2020, 8:04:11 PM",Redwood City,CA,37.48647755,-122.2286459
1,Broadway St,paper,Wednesday,"2/12/2020, 8:04:07 PM",Redwood City,CA,37.48649822,-122.2286438
1,Broadway St,paper,Wednesday,"2/12/2020, 8:04:05 PM",Redwood City,CA,37.48650303,-122.228656
1,Broadway St,paper,Wednesday,"2/12/2020, 8:04:02 PM",Redwood City,CA,37.48650378,-122.2286693
1,Broadway St,tobacco,Wednesday,"2/12/2020, 8:03:49 PM",Redwood City,CA,37.48650032,-122.2288014
1,Broadway St,paper,Wednesday,"2/12/2020, 8:03:42 PM",Redwood City,CA,37.4865013,-122.228801
1,Broadway St,paper,Wednesday,"2/12/2020, 8:03:23 PM",Redwood City,CA,37.48652764,-122.2289316
1,Broadway St,paper,Wednesday,"2/12/2020, 8:03:02 PM",Redwood City,CA,37.48650832,-122.2290652
1,Broadway St,paper,Wednesday,"2/12/2020, 8:02:43 PM",Redwood City,CA,37.48651313,-122.2288512
1,Broadway St,paper,Wednesday,"2/12/2020, 8:02:40 PM",Redwood City,CA,37.48652194,-122.2288288
1,Broadway St,plastic,Wednesday,"2/12/2020, 8:02:39 PM",Redwood City,CA,37.48651463,-122.2288149
1,Broadway St,plastic,Wednesday,"2/12/2020, 8:02:31 PM",Redwood City,CA,37.48649157,-122.2287124
